population_size,generations,mutation_rate,seed,best_clashes,best_staff_days,pareto_front_size,pareto_points,plot_filename
population_size,generations,mutation_rate,seed,best_clashes,best_staff_days,pareto_front_size,pareto_points,plot_filename
20,20,0.3,10,13,20,3,"[(13, 22), (17, 21), (22, 20)]",pareto_pop20_gen20_mut0_3_seed10.png
50,20,0.3,10,10,19,4,"[(10, 23), (12, 22), (15, 20), (21, 19)]",pareto_pop50_gen20_mut0_3_seed10.png
50,50,0.3,10,1,14,4,"[(1, 19), (2, 16), (3, 15), (6, 14)]",pareto_pop50_gen50_mut0_3_seed10.png
50,20,0.1,10,12,18,6,"[(12, 24), (14, 22), (15, 21), (17, 20), (18, 19), (27, 18)]",pareto_pop50_gen20_mut0_1_seed10.png
50,20,0.5,10,15,19,5,"[(15, 24), (17, 23), (18, 22), (21, 20), (24, 19)]",pareto_pop50_gen20_mut0_5_seed10.png
20,20,0.3,20,15,20,3,"[(15, 23), (16, 21), (18, 20)]",pareto_pop20_gen20_mut0_3_seed20.png
50,20,0.3,20,16,19,2,"[(16, 21), (20, 19)]",pareto_pop50_gen20_mut0_3_seed20.png
50,50,0.3,20,3,12,3,"[(3, 14), (5, 13), (15, 12)]",pareto_pop50_gen50_mut0_3_seed20.png
50,20,0.1,20,13,17,8,"[(13, 25), (15, 24), (16, 23), (17, 22), (20, 21), (22, 20), (26, 19), (42, 17)]",pareto_pop50_gen20_mut0_1_seed20.png
50,20,0.5,20,16,19,4,"[(16, 22), (18, 21), (23, 20), (30, 19)]",pareto_pop50_gen20_mut0_5_seed20.png
20,20,0.3,30,15,19,3,"[(15, 22), (20, 20), (21, 19)]",pareto_pop20_gen20_mut0_3_seed30.png
50,20,0.3,30,14,19,3,"[(14, 21), (17, 20), (22, 19)]",pareto_pop50_gen20_mut0_3_seed30.png
50,50,0.3,30,2,13,3,"[(2, 16), (3, 14), (6, 13)]",pareto_pop50_gen50_mut0_3_seed30.png
50,20,0.1,30,14,19,5,"[(14, 27), (15, 24), (17, 22), (18, 20), (23, 19)]",pareto_pop50_gen20_mut0_1_seed30.png
50,20,0.5,30,16,19,5,"[(16, 25), (17, 23), (19, 21), (21, 20), (24, 19)]",pareto_pop50_gen20_mut0_5_seed30.png
20,20,0.3,40,15,19,5,"[(15, 24), (16, 22), (19, 21), (20, 20), (23, 19)]",pareto_pop20_gen20_mut0_3_seed40.png
50,20,0.3,40,12,18,3,"[(12, 21), (16, 19), (27, 18)]",pareto_pop50_gen20_mut0_3_seed40.png
50,50,0.3,40,3,13,3,"[(3, 15), (6, 14), (10, 13)]",pareto_pop50_gen50_mut0_3_seed40.png
50,20,0.1,40,14,18,5,"[(14, 25), (16, 23), (17, 22), (18, 19), (19, 18)]",pareto_pop50_gen20_mut0_1_seed40.png
50,20,0.5,40,15,16,4,"[(15, 22), (19, 19), (25, 18), (28, 16)]",pareto_pop50_gen20_mut0_5_seed40.png
20,20,0.3,50,16,16,4,"[(16, 20), (18, 19), (20, 18), (26, 16)]",pareto_pop20_gen20_mut0_3_seed50.png
50,20,0.3,50,15,18,5,"[(15, 23), (16, 21), (20, 20), (22, 19), (27, 18)]",pareto_pop50_gen20_mut0_3_seed50.png
50,50,0.3,50,3,15,4,"[(3, 19), (4, 18), (6, 17), (7, 15)]",pareto_pop50_gen50_mut0_3_seed50.png
50,20,0.1,50,12,19,5,"[(12, 23), (15, 22), (16, 21), (17, 20), (25, 19)]",pareto_pop50_gen20_mut0_1_seed50.png
50,20,0.5,50,14,17,4,"[(14, 21), (16, 20), (17, 19), (20, 17)]",pareto_pop50_gen20_mut0_5_seed50.png
